	doc_id	sent_id	token_id	begin	end	text	"Tumor.TNM.""TNM"""	"Tumor.TNM.""version"""
83	"""1"""	6	83	482	484	im		
84	"""1"""	6	84	485	493	Gesunden		
85	"""1"""	6	85	494	503	reseziert		
86	"""1"""	6	86	503	504	,		
87	"""1"""	6	87	505	513	nächster		
88	"""1"""	6	88	514	528	Resektionsrand		
89	"""1"""	6	89	529	532	zur		
90	"""1"""	6	90	533	538	Tiefe		
91	"""1"""	6	91	538	539	:		
92	"""1"""	7	92	540	543	2.5		
93	"""1"""	7	93	543	545	mm		
94	"""1"""	8	94	545	546	.		
95	"""1"""	9	95	547	550	pT1	"""TNM"""	
96	"""1"""	9	96	550	551	,	"""TNM"""	
97	"""1"""	9	97	552	554	G1		
98	"""1"""	9	98	554	555	,		
99	"""1"""	10	99	556	558	R0		
100	"""1"""	10	100	558	559	.		
101	"""1"""	11	101	560	579	Tumorklassifikation		
102	"""1"""	11	102	580	581	(		
103	"""1"""	11	103	581	586	unter		
104	"""1"""	11	104	587	603	Berücksichtigung		
105	"""1"""	11	105	604	607	von		
106	"""1"""	11	106	608	619	B2015.16783		
107	"""1"""	11	107	619	620	-		
108	"""1"""	11	108	620	625	16788		
109	"""1"""	11	109	625	626	)		
110	"""1"""	12	110	626	627	:		
111	"""1"""	13	111	628	632	UICC		"""version"""
112	"""1"""	13	112	633	636	TNM		"""version"""
113	"""1"""	13	113	637	638	7		"""version"""
114	"""1"""	14	114	638	639	.		"""version"""
115	"""1"""	14	115	640	647	Auflage		
116	"""1"""	14	116	647	648	:		
117	"""1"""	14	117	649	653	pT1b	"""TNM"""	
118	"""1"""	14	118	653	654	,	"""TNM"""	
119	"""1"""	14	119	655	658	pNx	"""TNM"""	
120	"""1"""	14	120	658	659	,	"""TNM"""	
121	"""1"""	14	121	660	662	G3		
122	"""1"""	14	122	662	663	,		
123	"""1"""	14	123	664	666	V0		
124	"""1"""	14	124	666	667	,		
125	"""1"""	14	125	668	670	L0		
126	"""1"""	15	126	670	671	.		
127	"""1"""	16	127	672	676	UICC		"""version"""
128	"""1"""	16	128	677	680	TNM		"""version"""
129	"""1"""	17	129	681	682	6		"""version"""
130	"""1"""	17	130	682	683	.		"""version"""
131	"""1"""	17	131	684	691	Auflage		
132	"""1"""	17	132	691	692	:		
133	"""1"""	18	133	693	696	pT1	"""TNM"""	
134	"""1"""	18	134	696	697	,	"""TNM"""	
135	"""1"""	18	135	698	701	pNx	"""TNM"""	
136	"""1"""	18	136	701	702	,	"""TNM"""	
137	"""1"""	18	137	703	705	G3		
138	"""1"""	18	138	705	706	,		
139	"""1"""	18	139	707	709	V0		
140	"""1"""	18	140	709	710	,		
141	"""1"""	18	141	711	713	L0		
142	"""1"""	18	142	713	714	.		
